,minority,age,gender,credits,beauty,eval,students,allstudents
0,yes,36,female,more,0.2899157106876373,4.300000190734863,24,43
1,yes,36,female,more,0.2899157106876373,3.7000000476837163,86,125
2,yes,36,female,more,0.2899157106876373,3.5999999046325684,76,125
3,yes,36,female,more,0.2899157106876373,4.400000095367432,77,123
4,no,59,male,more,-0.7377321720123291,4.5,17,20
5,no,59,male,more,-0.7377321720123291,4.0,35,40
6,no,59,male,more,-0.7377321720123291,2.0999999046325684,39,44
7,no,51,male,more,-0.5719835758209229,3.7000000476837163,55,55
8,no,51,male,more,-0.5719835758209229,3.2000000476837163,111,195
9,no,40,female,more,-0.677963376045227,4.300000190734863,40,46
10,no,40,female,more,-0.677963376045227,3.5,24,27
11,no,40,female,more,-0.677963376045227,4.099999904632568,24,25
12,no,40,female,more,-0.677963376045227,4.599999904632568,17,20
13,no,40,female,more,-0.677963376045227,3.7999999523162837,14,25
14,no,40,female,more,-0.677963376045227,3.7999999523162837,37,42
15,no,40,female,more,-0.677963376045227,3.7999999523162837,18,20
16,no,40,female,more,-0.677963376045227,4.199999809265137,15,18
17,no,31,female,more,1.509793996810913,4.400000095367432,42,48
18,no,31,female,more,1.509793996810913,3.900000095367432,40,44
19,no,31,female,more,1.509793996810913,4.5,38,48
20,no,31,female,more,1.509793996810913,4.5,40,45
21,no,31,female,more,1.509793996810913,4.400000095367432,52,59
22,no,31,female,more,1.509793996810913,4.400000095367432,49,87
23,no,62,male,more,0.5885686874389648,4.199999809265137,182,282
24,no,62,male,more,0.5885686874389648,4.400000095367432,160,292
25,no,62,male,more,0.5885686874389648,4.5,79,130
26,no,62,male,more,0.5885686874389648,4.300000190734863,176,285
27,no,62,male,more,0.5885686874389648,4.599999904632568,155,272
28,no,62,male,more,0.5885686874389648,4.800000190734863,166,286
29,no,62,male,more,0.5885686874389648,4.300000190734863,186,302
30,no,33,female,more,-0.1260010004043579,4.0,33,41
31,no,33,female,more,-0.1260010004043579,4.0,29,34
32,no,33,female,more,-0.1260010004043579,4.0,37,41
33,no,33,female,more,-0.1260010004043579,3.900000095367432,29,41
34,no,33,female,more,-0.1260010004043579,3.2999999523162837,28,34
35,no,51,female,more,-0.2581898868083954,3.400000095367432,25,41
36,no,51,female,more,-0.2581898868083954,4.5,21,22
37,no,51,female,more,-0.2581898868083954,4.5,13,21
38,no,51,female,more,-0.2581898868083954,4.5,16,17
39,no,51,female,more,-0.2581898868083954,2.5,24,30
40,no,51,female,more,-0.2581898868083954,4.300000190734863,23,23
41,no,51,female,more,-0.2581898868083954,4.5,20,20
42,no,33,female,more,0.1496925950050354,4.5,48,60
43,no,33,female,more,0.1496925950050354,4.699999809265137,29,33
44,no,33,female,more,0.1496925950050354,3.5,11,44
45,no,33,female,more,0.1496925950050354,4.5,29,49
46,no,33,female,more,0.1496925950050354,3.7999999523162837,25,29
47,no,33,female,more,0.1496925950050354,4.5,42,48
48,no,33,female,more,0.1496925950050354,4.300000190734863,34,40
49,no,47,male,more,0.5409169793128967,3.900000095367432,16,19
50,no,47,male,more,0.5409169793128967,3.900000095367432,12,16
51,no,47,male,more,0.5409169793128967,4.300000190734863,14,15
52,no,47,male,more,0.5409169793128967,4.199999809265137,22,23
53,no,47,male,more,0.5409169793128967,5.0,10,11
54,no,47,male,more,0.5409169793128967,5.0,17,29
55,no,47,male,more,0.5409169793128967,4.599999904632568,16,21
56,no,47,male,more,0.5409169793128967,5.0,15,18
57,no,47,male,more,0.5409169793128967,4.699999809265137,16,19
58,no,47,male,more,0.5409169793128967,5.0,16,20
59,yes,35,male,more,0.2316133975982666,3.0999999046325684,18,25
60,yes,35,male,more,0.2316133975982666,2.700000047683716,30,33
61,yes,35,male,more,0.2316133975982666,4.0,23,24
62,no,37,male,more,-0.06667370349168777,4.0,30,34
63,no,37,male,more,-0.06667370349168777,4.400000095367432,13,21
64,no,37,male,more,-0.06667370349168777,4.400000095367432,24,30
65,no,37,male,more,-0.06667370349168777,4.300000190734863,24,25
66,no,37,male,more,-0.06667370349168777,3.5,25,35
67,no,42,male,more,0.21689240634441376,3.7999999523162837,28,40
68,no,42,male,more,0.21689240634441376,3.7999999523162837,18,30
69,no,42,male,more,0.21689240634441376,3.900000095367432,28,42
70,no,42,male,more,0.21689240634441376,3.7000000476837163,25,57
71,no,42,male,more,0.21689240634441376,3.2999999523162837,40,57
72,no,42,male,more,0.21689240634441376,4.0,40,51
73,no,42,male,more,0.21689240634441376,3.7999999523162837,18,30
74,no,49,male,more,-0.25869619846343994,3.400000095367432,30,36
75,no,49,male,more,-0.25869619846343994,4.199999809265137,31,37
76,no,49,male,more,-0.25869619846343994,3.0999999046325684,15,29
77,no,49,male,more,-0.25869619846343994,3.5999999046325684,23,27
78,no,37,female,more,0.5502877831459045,2.900000095367432,23,28
79,no,37,female,more,0.5502877831459045,3.2999999523162837,34,52
