minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,PrimaryLast,vismin,female,single_credit,upper_division,English_speaker,tenured_prof
yes,36,female,more,0.28991571068763733,4.300000190734863,upper,yes,yes,24,43,1,0,1,1,0,1,1,1
yes,36,female,more,0.28991571068763733,3.700000047683716,upper,yes,yes,86,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.28991571068763733,3.5999999046325684,upper,yes,yes,76,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.28991571068763733,4.400000095367432,upper,yes,yes,77,123,1,1,1,1,0,1,1,1
no,59,male,more,-0.7377321720123291,4.5,upper,yes,yes,17,20,2,0,0,0,0,1,1,1
no,59,male,more,-0.7377321720123291,4,upper,yes,yes,35,40,2,0,0,0,0,1,1,1
no,59,male,more,-0.7377321720123291,2.0999999046325684,upper,yes,yes,39,44,2,1,0,0,0,1,1,1
no,51,male,more,-0.5719835758209229,3.700000047683716,upper,yes,yes,55,55,3,0,0,0,0,1,1,1
no,51,male,more,-0.5719835758209229,3.200000047683716,upper,yes,yes,111,195,3,1,0,0,0,1,1,1
no,40,female,more,-0.677963376045227,4.300000190734863,upper,yes,yes,40,46,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.5,upper,yes,yes,24,27,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,4.099999904632568,upper,yes,yes,24,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,4.599999904632568,upper,yes,yes,17,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.799999952316284,upper,yes,yes,14,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.799999952316284,upper,yes,yes,37,42,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.799999952316284,upper,yes,yes,18,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,4.199999809265137,upper,yes,yes,15,18,4,1,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.400000095367432,upper,yes,yes,42,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,3.9000000953674316,upper,yes,yes,40,44,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.5,upper,yes,yes,38,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.5,upper,yes,yes,40,45,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.400000095367432,upper,yes,yes,52,59,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.400000095367432,upper,yes,yes,49,87,5,1,0,1,0,1,1,1
no,62,male,more,0.5885686874389648,4.199999809265137,upper,yes,yes,182,282,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.400000095367432,upper,yes,yes,160,292,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.5,upper,yes,yes,79,130,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.300000190734863,upper,yes,yes,176,285,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.599999904632568,upper,yes,yes,155,272,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.800000190734863,upper,yes,yes,166,286,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.300000190734863,upper,yes,yes,186,302,6,1,0,0,0,1,1,1
no,33,female,more,-0.1260010004043579,4,upper,yes,yes,33,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.1260010004043579,4,upper,yes,yes,29,34,7,0,0,1,0,1,1,1
no,33,female,more,-0.1260010004043579,4,upper,yes,yes,37,41,7,0,0,1,0,1,1,1
